0,nospec_no_specifier_test,1685436813,0
1,nospec_empty_string,1685436813,0
2,nospec_some_escaped_chars,1685436813,0
3,nospec_successive_5_5,1685436813,0
4,nospec_successive_2_9,1685436813,0
5,nospec_successive_8_3,1685436813,0
6,pct_basic,1685436813,0
7,pct_5w,0,1685436813
8,pct_5wlj,0,1685436813
9,pct_5wzp,0,1685436813
10,pct_5wljzp,0,1685436813
16,c_allprintable_combined,1685436813,0
17,c_1_31_combined,1685436813,0
18,c_128_255_combined,1685436813,0
19,c_allprintable_width,0,1685436813
20,c_1_31_width,0,1685436813
21,c_128_255_width,0,1685436813
22,c_allprintable_width_lj,0,1685436813
23,c_1_31_width_lj,0,1685436813
24,c_128_255_width_lj,0,1685436813
25,c_nullterm_basic,1685436813,0
26,c_nullterm_5w,0,1685436813
27,c_nullterm_5wlj,0,1685436813
28,s_basic_string_expansion,1685436813,0
29,s_only_string_expansion,1685436813,0
30,s_two_string_expansions,1685436813,0
31,s_two_string_expansions2,1685436813,0
32,s_empty_string_expansion,1685436813,0
33,s_full_then_empty_string,1685436813,0
34,s_empty_then_full_string,1685436813,0
35,s_three_strings,1685436813,0
36,s_space_padded_field_width,0,1685436813
37,s_space_padded_field_width2,0,1685436813
38,s_space_padded_over_field_width,0,1685436813
39,s_space_padded_field_width_lj,0,1685436813
40,s_space_padded_field_width2_lj,0,1685436813
41,s_space_padded_over_field_width_lj,0,1685436813
42,s_string_prec_notrunc,0,1685436813
43,s_string_prec_trunc,0,1685436813
44,s_string_prec_default,0,1685436813
45,s_string_prec_zero,0,1685436813
46,s_two_strings_prec_2trunc,0,1685436813
47,s_two_strings_prec_1trunc_a,0,1685436813
48,s_two_strings_prec_1trunc_b,0,1685436813
49,s_two_strings_prec_0trunc,0,1685436813
50,s_string_prec_width_notrunc,0,1685436813
51,s_string_prec_width_trunc,0,1685436813
52,s_string_prec_width_notrunc_lj,0,1685436813
53,s_string_prec_width_trunc_lj,0,1685436813
54,s_two_s_prec_width_2fit_0trunc,0,1685436813
55,s_two_s_prec_width_1fit_a_0trunc,0,1685436813
56,s_two_s_prec_width_1fit_b_0trunc,0,1685436813
57,s_two_s_prec_width_0fit_0trunc,0,1685436813
58,s_two_s_prec_width_2fit_1trunc_a,0,1685436813
59,s_two_s_prec_width_1fit_a_1trunc_a,0,1685436813
60,s_two_s_prec_width_1fit_b_1trunc_a,0,1685436813
61,s_two_s_prec_width_0fit_1trunc_a,0,1685436813
62,s_two_s_prec_width_2fit_1trunc_b,0,1685436813
63,s_two_s_prec_width_1fit_a_1trunc_b,0,1685436813
64,s_two_s_prec_width_1fit_b_1trunc_b,0,1685436813
65,s_two_s_prec_width_0fit_1trunc_b,0,1685436813
66,s_two_s_prec_width_2fit_2trunc,0,1685436813
67,s_two_s_prec_width_1fit_a_2trunc,0,1685436813
68,s_two_s_prec_width_1fit_b_2trunc,0,1685436813
69,s_two_s_prec_width_0fit_2trunc,0,1685436813
70,s_two_s_prec_width_2trunc,0,1685436813
71,s_two_strings_lj_and_rj,0,1685436813
72,s_two_strings_rj_and_lj,0,1685436813
73,s_null_basic_string_expansion,0,1685436813
74,s_null_only_string_expansion,0,1685436813
75,s_null_space_padded_field_width,0,1685436813
76,s_null_space_padded_over_field_width,0,1685436813
77,s_null_space_padded_field_width_lj,0,1685436813
78,s_null_space_padded_field_width2_lj,0,1685436813
79,s_null_space_padded_over_field_width_lj,0,1685436813
80,s_null_string_prec_notrunc,0,1685436813
81,s_null_string_prec_trunc,0,1685436813
82,s_null_string_prec_default,0,1685436813
83,s_null_string_prec_zero,0,1685436813
84,s_basic_s_hidden,1685436813,0
85,s_width_3_s_hidden,0,1685436813
86,s_width_9_s_hidden,0,1685436813
87,s_prec_no_width_s_hidden,0,1685436813
88,s_prec_9_no_width_s_hidden,0,1685436813
89,s_prec_03_no_width_s_hidden,0,1685436813
90,s_prec_09_no_width_s_hidden,0,1685436813
91,s_prec_03_no_width_s_null,0,1685436813
92,s_prec_09_no_width_s_null,0,1685436813
93,s_prec_00_no_width_s_nullchar,0,1685436813
94,s_prec_01_no_width_s_nullchar,0,1685436813
95,s_prec_03_no_width_s_nullchar,0,1685436813
96,s_prec_09_no_width_s_nullchar,0,1685436813
97,s_prec_0_width_3_s_hidden,0,1685436813
98,s_prec_0_width_10_s_hidden,0,1685436813
99,s_prec_0_width_3_s_null,0,1685436813
100,s_prec_0_width_10_s_null,0,1685436813
101,s_prec_0_width_1_s_nullchar,0,1685436813
102,s_prec_0_width_2_s_nullchar,0,1685436813
103,s_prec_0_width_9_s_nullchar,0,1685436813
104,s_prec_0_lj_width_3_s_hidden,0,1685436813
105,s_prec_0_lj_width_8_s_hidden,0,1685436813
106,s_prec_0_lj_width_3_s_null,0,1685436813
107,s_prec_0_lj_width_8_s_null,0,1685436813
108,s_prec_0_lj_width_1_s_nullchar,0,1685436813
109,s_prec_0_lj_width_2_s_nullchar,0,1685436813
110,s_prec_0_lj_width_6_s_nullchar,0,1685436813
111,s_prec_1_width_3_s_hidden,0,1685436813
112,s_prec_1_width_10_s_hidden,0,1685436813
113,s_prec_1_width_3_s_null,0,1685436813
114,s_prec_1_width_9_s_null,0,1685436813
115,s_prec_1_lj_width_3_s_hidden,0,1685436813
116,s_prec_1_lj_width_10_s_hidden,0,1685436813
117,s_prec_1_lj_width_3_s_null,0,1685436813
118,s_prec_1_lj_width_9_s_null,0,1685436813
119,s_prec_1_lj_width_3_s_nullchar,0,1685436813
120,s_prec_1_lj_width_6_s_nullchar,0,1685436813
